module_id,title,grade_class,term,order,weeks,output,content_standard,performance_standard,unlocked
G9-M1,Introduction to Film and Cinema,G9,Term 1,1,8,A film critique of one short or full length film.,"The learners understand film history, its genres, and the elements of film criticism, and recognize cinema's contribution to culture and society.",The learners produce a film review or critical essay on a commercial or short film.,True
G10-M1,Conceptualizing and Writing the Short Film,G10,Term 1,1,8,A short screenplay.,"The learners understand narrative structure and the ethics of fiction film writing, to produce narratives that reflect their vision and view of society and the human condition.","The learners produce a short screenplay built on storytelling, character development, and the technical skills to write for the screen.",True
